Governorate;GOV_code;District;District_code;Name;Type;type_pcoding;OLD_P_code;CCCM_Pcode;Latitude;Longitude
Ninewa;IQ-G15;Shikhan;IQ-D088;Sheikhan I Camp;IDPcamp_formal;IDPcf-;da-idp-21;IQ-G15-D088-01-IDPcf-002;36                                 ,7;43                                                                 ,35
Ninewa;IQ-G15;Shikhan;IQ-D088;Mam Rashan Camp (Sheikan II);IDPcamp_formal;IDPcf-;da-idp-22;IQ-G15-D088-01-IDPcf-003;36                    ,721;43                                                               ,254
Ninewa;IQ-G15;Tilkaif;IQ-D091;Garmawa Camp;IDPcamp_formal;IDPcf-;ni-idp-11;IQ-G15-D091-01-IDPcf-001;36                                    ,646885;43                                                            ,237
Sulaymaniyah;IQ-G05;Chamchamal;IQ-D024;Basijan Camp;IDPcamp_formal;IDPcf-;su-idp-5;IQ-G05-D024-01-IDPcf-001;35                            ,49472;44                                                             ,97115
Sulaymaniyah;IQ-G05;Sulaymaniya;IQ-D033;Arbat IDP Camp;IDPcamp_formal;IDPcf-;su-idp-3;IQ-G05-D033-01-IDPcf-001;35                         ,43449593;45                                                          ,59057401
Wassit;IQ-G16;Kut;IQ-D095;Kut Sport city;IDPcamp_formal;IDPcf-;;IQ-G16-D095-01-IDPcf-001;32                                               ,49133;45                                                             ,85069389
Dahuk;IQ-G08;Zakho;IQ-D051;Deraboun area informal camp;IDPcamp_informal;IDPci-;;IQ-G08-D051-01-IDPci-001;37                               ,09826;42                                                             ,42905
Dahuk;IQ-G08;Zakho;IQ-D051;Wargahe Zakho (Informal camp);IDPcamp_informal;IDPci-;;IQ-G08-D051-01-IDPci-002;37                             ,133207;42                                                            ,695
Diyala;IQ-G10;Khanaqin;IQ-D060;Kujalo;IDPcamp_informal;IDPci-;;IQ-G10-D060-01-IDPci-001;34                                                ,472716;45                                                            ,173001
Sulaymaniya;to be confirmed;Dukan;to be confirmed;Dukan Camp;IDPcamp_formal;IDPcf-;;to be confirmed;to be confirmed;to be confirmed
Sulaymaniya;to be confirmed;Kalar;to be confirmed;Kalar Camp;IDPcamp_formal;IDPcf-;;to be confirmed;to be confirmed;to be confirmed
Sulaymaniya;to be confirmed;Barzinja;to be confirmed;Barznja Camp 2;IDPcamp_formal;IDPcf-;;to be confirmed;to be confirmed;to be confirmed
Sulaymaniya;to be confirmed;Sitak;to be confirmed;Sitak Camp;IDPcamp_formal;IDPcf-;;to be confirmed;to be confirmed;to be confirmed
Sulaymaniya;to be confirmed;Zirgwez;to be confirmed;Zirgwez  Camp;IDPcamp_formal;IDPcf-;;to be confirmed;to be confirmed;to be confirmed
