Governorate_correct;GOV_code;District;District_pcoding;District_c;Name;Type;type_pcoding;OLD_P_code;P_code_line;Final_Pcode;Latitude;Longitude
Diyala;IQ-G10;Khanaqin;D060;IQ-D060;Old Alyawa Collective shelter;IDPcollective_shelter;IDPcs-;di-idp-4;IQ-G10-D060-01-IDPcs-;IQ-G10-D060-01-IDPcs-001;34                        ,34936;45  ,3408
Diyala;IQ-G10;Khanaqin;D060;IQ-D060;Bahari Taza Collective shelter (informal);IDPcollective_shelter;IDPcs-;di-idp-5;IQ-G10-D060-01-IDPcs-;IQ-G10-D060-01-IDPcs-002;34            ,3261361;45,35656389
Erbil;IQ-G11;Shaqlawa;D068;IQ-D068;Shaqlawa collective shelter;IDPcollective_shelter;IDPcs-;er-idp-12;IQ-G11-D068-01-IDPcs-;IQ-G11-D068-01-IDPcs-001;36                          ,4098444;44,3201791
Kerbala;IQ-G12;Kerbala;D072;IQ-D072;pproximate 1500 collective shelters Kerbala;IDPcollective_shelter;IDPcs-;ka-idp-1;IQ-G12-D072-01-IDPcs-;IQ-G12-D072-01-IDPcs-001;32          ,616667;44 ,033333
Najaf;IQ-G17;Kufa;D098;IQ-D098;Ya Hussein Road Collective shelter;IDPcollective_shelter;IDPcs-;na-idp-1;IQ-G17-D098-01-IDPcs-;IQ-G17-D098-01-IDPcs-001;32                        ,1063167;44,323125
Najaf;IQ-G17;Kufa;D098;IQ-D098;Alwat Al-Fahal village Collective shelter;IDPcollective_shelter;IDPcs-;na-idp-4;IQ-G17-D098-01-IDPcs-;IQ-G17-D098-01-IDPcs-002;32                 ,1111861;44,35347778
Najaf;IQ-G17;Kufa;D098;IQ-D098;Al-Abbasiya Collective shelter;IDPcollective_shelter;IDPcs-;na-idp-5;IQ-G17-D098-01-IDPcs-;IQ-G17-D098-01-IDPcs-003;32                            ,0769694;44,441075
Najaf;IQ-G17;Kufa;D098;IQ-D098;Ya Hussein Road Collective shelter;IDPcollective_shelter;IDPcs-;na-idp-1;IQ-G17-D098-01-IDPcs-;IQ-G17-D098-01-IDPcs-004;32                        ,1063167;44,323125
Najaf;IQ-G17;Kufa;D098;IQ-D098;Alwat Al-Fahal village Collective shelter;IDPcollective_shelter;IDPcs-;na-idp-4;IQ-G17-D098-01-IDPcs-;IQ-G17-D098-01-IDPcs-005;32                 ,1111861;44,35347778
Najaf;IQ-G17;Kufa;D098;IQ-D098;Al-Abbasiya Collective shelter;IDPcollective_shelter;IDPcs-;na-idp-5;IQ-G17-D098-01-IDPcs-;IQ-G17-D098-01-IDPcs-006;32                            ,0769694;44,441075
Najaf;IQ-G17;Kufa;D098;IQ-D098;Al-Hurriya Collective shelter;IDPcollective_shelter;IDPcs-;na-idp-7;IQ-G17-D098-01-IDPcs-;IQ-G17-D098-01-IDPcs-007;32                             ,1015833;44,54285556
Najaf;IQ-G17;Kufa;D098;IQ-D098;Kufa Collective shelter;IDPcollective_shelter;IDPcs-;na-idp-8;IQ-G17-D098-01-IDPcs-;IQ-G17-D098-01-IDPcs-008;32                                   ,0306833;44,40075278
Najaf;IQ-G17;Manathera;D099;IQ-D099;Manathera Collective shelter;IDPcollective_shelter;IDPcs-;na-idp-2;IQ-G17-D099-01-IDPcs-;IQ-G17-D099-01-IDPcs-001;31                         ,9241583;44,46063889
Najaf;IQ-G17;Manathera;D099;IQ-D099;AL-Mishkhab Collective shelter;IDPcollective_shelter;IDPcs-;na-idp-6;IQ-G17-D099-01-IDPcs-;IQ-G17-D099-01-IDPcs-002;31                       ,8069278;44,49205
Najaf;IQ-G17;Manathera;D099;IQ-D099;Manathera Collective shelter;IDPcollective_shelter;IDPcs-;na-idp-2;IQ-G17-D099-01-IDPcs-;IQ-G17-D099-01-IDPcs-003;31                         ,9241583;44,46063889
Najaf;IQ-G17;Manathera;D099;IQ-D099;AL-Mishkhab Collective shelter;IDPcollective_shelter;IDPcs-;na-idp-6;IQ-G17-D099-01-IDPcs-;IQ-G17-D099-01-IDPcs-004;31                       ,8069278;44,49205
Najaf;IQ-G17;Najaf;D100;IQ-D100;Radhawiya village Collective shelter;IDPcollective_shelter;IDPcs-;na-idp-3;IQ-G17-D100-01-IDPcs-;IQ-G17-D100-01-IDPcs-001;31                     ,9669;44   ,38442778
Najaf;IQ-G17;Najaf;D100;IQ-D100;Radhawiya village Collective shelter;IDPcollective_shelter;IDPcs-;na-idp-3;IQ-G17-D100-01-IDPcs-;IQ-G17-D100-01-IDPcs-002;31                     ,9669;44   ,38442778
Najaf;IQ-G17;Najaf;D100;IQ-D100;unknown number Collective shelters Najaf;IDPcollective_shelter;IDPcs-;na-idp-9;IQ-G17-D100-01-IDPcs-;IQ-G17-D100-01-IDPcs-003;32;44              ,33
Wassit;IQ-G16;Kut;D095;IQ-D095;80 collective shelters Wassit;IDPcollective_shelter;IDPcs-;wa-idp-1;IQ-G16-D095-01-IDPcs-;IQ-G16-D095-01-IDPcs-001;32                             ,6024094;45,7520985
